Area in Sqrt,No.of Bhk,Location,Price
950,2,Sector 73, 40 L
550,1,Sector 73, 13 L
850,2,Sector 73, 16.5 L
850,2,Sector 73, 18.5 L
850,2,Sector 73, 18.5 L
550,1,Sector 75, 17 L
1050,2,Sector 73, 26 L
1050,2,other, 25.5 L
550,1,Sector 73, 12.9 L
850,2,Sector 73, 18.5 L
550,1,Sector 72, 13 L
550,1,Sector 73, 11 L
550,1,Sector 73, 16.5 L
850,2,Sector 73, 15.5 L
850,2,Sector 73, 15.5 L
850,2,Sector 73, 16.5 L
550,1,Sector 73, 14.5 L
500,1,Sector 73, 13 L
850,2,Sector 73, 18.5 L
850,2,Sector 73, 18.5 L
925,2,Sector 137, 42 L
925,2,Sector 137, 37 L
1100,2,Sector 93, 78 L
2095,3,Sector 150, 1.45 Cr
1675,3,Sector 150, 1.14 Cr
1195,2,Sector 150, 78 L
2800,4,Sector 93A, 3.45 Cr
1100,2,Sector 93, 74 L
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
3750,5,Sector 150, 2.43 Cr
4350,5,Sector 150, 2.82 Cr
4350,5,Sector 150, 2.82 Cr
2150,4,Sector 150, 1.39 Cr
2150,4,Sector 150, 1.39 Cr
1550,3,Sector 120, 70 L
2500,3,Sector 107, 2.62 Cr
2500,3,Sector 107, 2.62 Cr
3550,4,Sector 107, 3.72 Cr
3550,4,Sector 107, 3.72 Cr
2700,4,Sector 150, 1.75 Cr
3650,4,Sector 150, 2.24 Cr
3650,4,Sector 150, 2.24 Cr
2750,3,Sector 150, 1.69 Cr
2750,3,Sector 150, 1.69 Cr
2450,3,Sector 150, 1.5 Cr
2450,3,Sector 150, 1.5 Cr
3650,4,Sector 150, 2.24 Cr
3650,4,Sector 150, 2.24 Cr
2750,3,Sector 150, 1.69 Cr
2750,3,Sector 150, 1.69 Cr
2850,3,Sector 150, 1.75 Cr
2850,3,Sector 150, 1.75 Cr
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
773,2,Sector 150, 79.21 L
1455,3,Sector 150, 1.51 Cr
1455,3,Sector 150, 1.51 Cr
977,2,Sector 150, 96.96 L
977,2,Sector 150, 96.96 L
1903,4,Sector 150, 1.99 Cr
1903,4,Sector 150, 1.99 Cr
1202,3,Sector 150, 1.18 Cr
1202,3,Sector 150, 1.18 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
2700,4,Sector 150, 2.14 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
2700,4,Sector 150, 2.14 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
2700,4,Sector 150, 2.14 Cr
3027,4,Sector 150, 2.39 Cr
3027,4,Sector 150, 2.39 Cr
2062,3,Sector 150, 1.63 Cr
2062,3,Sector 150, 1.63 Cr
2330,3,Sector 150, 1.64 Cr
2330,3,Sector 150, 1.64 Cr
1750,3,Sector 150, 1.08 Cr
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
3220,4,Sector 150, 2.26 Cr
2190,3,Sector 150, 1.42 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
1075,2,Sector 120, 46 L
1550,3,Sector 120, 70 L
950,2,Sector 120, 56 L
850,2,Sector 73, 19 L
650,1,Sector 110, 20 L
650,1,Sector 110, 19.7 L
650,1,Sector 110, 19.8 L
650,1,Sector 110, 19.9 L
952,2,Sector 73, 29.5 L
652,1,Sector 73, 18.5 L
652,1,Sector 73, 18.5 L
950,2,Sector 73, 28.5 L
657,1,Sector 73, 18.9 L
987,2,Sector 73, 28 L
900,2,Sector 73, 26 L
920,1,Sector 73, 16 L
987,2,Sector 73, 28.7 L
850,2,Sector 73, 17 L
900,2,Sector 72, 21.11 L
900,2,Sector 73, 29 L
950,2,Sector 73, 28.75 L
950,2,Sector 73, 28.85 L
950,2,Sector 73, 28.75 L
950,2,Sector 73, 28 L
950,2,Sector 73, 28.78 L
1050,2,Sector 110, 30.25 L
1051,2,Sector 110, 31 L
1050,2,Sector 110, 31 L
1050,2,Sector 110, 31 L
1050,2,Sector 110, 31 L
1050,2,Sector 110, 31.5 L
1050,2,Sector 110, 32 L
1085,2,Sector 73, 28 L
1050,2,Sector 110, 30.5 L
925,2,Sector 137, 38 L
550,1,Sector 73, 13 L
550,1,Sector 73, 16.5 L
850,2,Sector 73, 22 L
850,2,Sector 73, 15.5 L
950,2,other, 26.5 L
550,1,Sector 73, 13 L
850,2,Sector 73, 15.5 L
1050,2,Sector 110, 30.6 L
1050,2,Sector 110, 29.8 L
1050,2,Sector 110, 29.5 L
1050,2,Sector 110, 30.7 L
1050,2,Sector 110, 31.2 L
1050,2,Sector 110, 31.05 L
1050,2,Sector 110, 31.6 L
2050,4,Sector 150, 1.98 Cr
2050,4,Sector 150, 1.98 Cr
2050,4,Sector 150, 1.98 Cr
2555,3,Sector 150, 1.87 Cr
600,1,Sector 73, 18.4 L
600,1,Sector 73, 18.5 L
850,2,Sector 73, 19 L
850,2,Sector 73, 28.5 L
780,2,Sector 73, 23.99 L
950,2,Sector 72, 26.08 L
950,2,Sector 72, 28.53 L
850,2,Sector 73, 32.99 L
850,2,Sector 73, 27 L
850,2,Sector 73, 16.5 L
850,2,Sector 72, 26.49 L
950,2,Sector 73, 24 L
950,2,Sector 73, 24 L
950,2,Sector 73, 23.5 L
950,2,Sector 72, 23.5 L
950,2,Sector 73, 23 L
550,1,Sector 73, 17 L
550,1,Sector 73, 17 L
850,2,Sector 73, 21 L
950,2,Sector 73, 21 L
1000,2,Sector 72, 27.5 L
1000,2,Sector 73, 28 L
1000,2,Sector 73, 28.5 L
1000,2,Sector 73, 29 L
1000,2,Sector 73, 29.5 L
1000,2,Sector 73, 29 L
950,2,Sector 73, 29 L
950,2,Sector 73, 28.5 L
950,2,Sector 73, 28 L
950,2,Sector 73, 27.5 L
950,2,Sector 73, 24.5 L
950,2,Sector 73, 25 L
980,2,Sector 73, 26.35 L
980,2,Sector 73, 26.54 L
1000,2,Sector 73, 26.45 L
1000,2,Sector 73, 27.54 L
950,2,Sector 73, 21.55 L
850,2,Sector 73, 21.5 L
820,2,Sector 72, 24.49 L
800,2,Sector 72, 20.99 L
850,2,Sector 73, 21.2 L
850,2,Sector 73, 21.1 L
850,2,Sector 73, 21 L
525,1,Sector 73, 17.39 L
950,2,Sector 73, 27.58 L
900,2,Sector 73, 21.12 L
900,2,Sector 73, 21 L
950,2,Sector 73, 27.8 L
950,2,Sector 73, 27 L
950,2,Sector 73, 26.5 L
950,2,Sector 73, 26 L
950,2,Sector 73, 28.53 L
950,2,Sector 73, 28.68 L
950,2,Sector 73, 28.78 L
950,2,Sector 73, 28.85 L
950,2,Sector 73, 29 L
950,2,Sector 73, 24.08 L
950,2,Sector 73, 23.04 L
950,2,Sector 73, 22.5 L
950,2,Sector 73, 28 L
950,2,Sector 73, 27.5 L
950,2,Sector 73, 28 L
950,2,Sector 73, 21 L
950,2,Sector 73, 21.5 L
780,2,Sector 73, 23.79 L
850,2,Sector 73, 26.99 L
801,2,Sector 73, 26.99 L
850,2,Sector 73, 27.89 L
1000,2,Sector 73, 29 L
920,2,Sector 73, 21 L
950,2,Sector 73, 23.58 L
780,2,Sector 73, 22.49 L
900,2,Sector 72, 17.25 L
900,2,Sector 73, 17.25 L
450,1,Sector 73, 14.5 L
550,1,Sector 73, 16.5 L
500,1,Sector 73, 16 L
450,1,Sector 73, 14.5 L
450,1,Sector 73, 15 L
900,2,Sector 73, 17 L
480,1,Sector 73, 13.99 L
3220,4,Sector 150, 2.86 Cr
2000,3,Sector 150, 2.2 Cr
2000,3,Sector 150, 2.19 Cr
8500,5,Sector 144, 12.49 Cr
4700,4,Sector 144, 6 Cr
4700,4,Sector 144, 5.97 Cr
6100,5,Sector 128, 7.01 Cr
2375,3,Sector 150, 2.35 Cr
1587,2,Sector 150, 1.34 Cr
550,1,Sector 73, 12.5 L
550,1,Sector 73, 12.75 L
815,2,Sector 73, 16.7 L
510,1,Sector 73, 13.25 L
2158,5,Sector 79, 2.25 Cr
6000,4,Sector 94, 8.99 Cr
850,2,Sector 72, 21 L
450,1,Sector 73, 14 L
550,1,Sector 73, 13.58 L
550,1,Sector 73, 14.08 L
650,1,Sector 110, 18.95 L
750,1,Sector 73, 16 L
3575,4,Sector 128, 4.45 Cr
1775,3,Sector 152, 1.8 Cr
1350,2,Sector 152, 1.25 Cr
