Area in Sqrt,No.of Bhk,Location,Price
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 28 L
1050,2,Sector 73, 25 L
650,1,Sector 74, 16 L
650,1,Sector 74, 16 L
650,1,Sector 74, 15.75 L
650,1,Sector 74, 15.5 L
650,1,Sector 74, 15 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 28 L
1530,3,other, 53.95 L
1675,3,Sector 150, 1.06 Cr
1675,3,Sector 150, 1.06 Cr
1675,3,Sector 150, 1.06 Cr
1675,3,Sector 150, 1.06 Cr
956,2,other, 28.21 L
967,2,other, 29.85 L
1580,3,Sector 62, 78 L
1670,3,Sector 134, 75 L
2511,4,Sector 75, 2.25 Cr
2511,4,Sector 75, 2.25 Cr
2124,3,Sector 75, 1.91 Cr
2124,3,Sector 75, 1.91 Cr
1656,3,Sector 75, 1.49 Cr
1656,3,Sector 75, 1.49 Cr
1775,3,Sector 152, 1.8 Cr
1775,3,Sector 152, 1.8 Cr
1775,3,Sector 152, 1.8 Cr
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
1300,3,Sector 143B, 85.8 L
1100,2,Sector 110, 28 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 29 L
3302,3,Sector 108, 2.35 Cr
2548,3,Sector 50, 2.67 Cr
2400,3,Sector 128, 3.03 Cr
3617,4,Sector 108, 4.7 Cr
2458,4,Sector 108, 3.4 Cr
3200,4,Sector 150, 2.47 Cr
3200,4,Sector 150, 2.47 Cr
2000,3,Sector 150, 1.57 Cr
2000,3,Sector 150, 1.57 Cr
2300,3,Sector 150, 1.79 Cr
2300,3,Sector 150, 1.79 Cr
1625,3,Sector 150, 1.29 Cr
1625,3,Sector 150, 1.29 Cr
3000,4,Sector 107, 2.97 Cr
3000,4,Sector 107, 2.97 Cr
3720,4,Sector 107, 3.68 Cr
3720,4,Sector 107, 3.68 Cr
3000,4,Sector 107, 2.97 Cr
3000,4,Sector 107, 2.97 Cr
3720,4,Sector 107, 3.68 Cr
3720,4,Sector 107, 3.68 Cr
2500,3,Sector 107, 2.47 Cr
2500,3,Sector 107, 2.47 Cr
2970,4,Sector 107, 2.94 Cr
2970,4,Sector 107, 2.94 Cr
2575,3,Sector 107, 2.54 Cr
2575,3,Sector 107, 2.54 Cr
3550,4,Sector 107, 3.51 Cr
3550,4,Sector 107, 3.51 Cr
3501,4,Sector 107, 4.7 Cr
3501,4,Sector 107, 4.7 Cr
4482,4,Sector 107, 6.05 Cr
4482,4,Sector 107, 6.05 Cr
6570,5,Sector 107, 8.9 Cr
6570,5,Sector 107, 8.9 Cr
1850,4,Sector 62, 90 L
4700,4,Sector 144, 7.5 Cr
4700,4,Sector 144, 7.5 Cr
4700,4,Sector 144, 7.5 Cr
4700,4,Sector 144, 7.5 Cr
950,2,Sector 93A, 29.9 L
950,2,Sector 93A, 29.7 L
1137,2,Sector 150, 85.27 L
1137,2,Sector 150, 85.27 L
1050,2,Sector 74, 29.3 L
1050,2,Sector 74, 29.7 L
1050,2,Sector 74, 29.6 L
1050,2,Sector 74, 29 L
1050,2,Sector 74, 28.8 L
650,1,Sector 74, 15 L
1058,2,Sector 73, 29 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15.75 L
650,1,Sector 73, 15.75 L
650,1,Sector 73, 15.75 L
650,1,Sector 73, 15.75 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1450,3,Sector 73, 42.5 L
1050,2,Sector 73, 25 L
650,1,Sector 73, 15.75 L
650,1,Sector 73, 15.75 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1450,3,Sector 73, 42.5 L
1050,2,Sector 73, 25 L
650,1,Sector 73, 15 L
1050,2,Sector 73, 25 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
1050,2,Sector 74, 27.5 L
1050,2,Sector 73, 29 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
950,2,other, 29.5 L
1128,3,Sector 150, 40 L
1140,3,Sector 150, 36.8 L
1400,2,Sector 150, 40 L
1100,3,Sector 150, 41.45 L
2800,4,Sector 78, 3.08 Cr
3000,4,Sector 93A, 3.5 Cr
2800,4,Sector 93A, 3.24 Cr
2800,4,Sector 93A, 3.24 Cr
650,1,Sector 73, 15 L
650,1,Sector 73, 15.75 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15 L
1050,2,Sector 73, 27.5 L
1050,2,Sector 73, 27 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 28 L
1000,2,Sector 73, 28.5 L
1050,2,Sector 73, 28 L
1050,2,Sector 73, 29 L
1050,2,other, 28.5 L
1050,2,other, 29.5 L
1050,2,Sector 72, 29.7 L
1050,2,Sector 73, 26.51 L
1050,2,Sector 73, 26.5 L
1050,2,Sector 73, 27.5 L
1050,2,Sector 73, 29.5 L
1050,2,Sector 73, 27.5 L
1000,2,Sector 73, 25 L
550,1,Sector 73, 14.99 L
550,1,Sector 73, 13.99 L
1050,2,Sector 73, 27.5 L
1050,2,Sector 73, 26 L
650,1,Sector 73, 15.5 L
650,1,Sector 73, 15.5 L
650,1,Sector 73, 15 L
1050,2,Sector 73, 26 L
1050,2,Sector 73, 25.8 L
1050,2,Sector 73, 25.8 L
1050,2,Sector 73, 27.5 L
650,1,Sector 73, 15 L
650,1,Sector 73, 15.75 L
1050,2,Sector 44, 31.97 L
1500,3,Sector 44, 42.11 L
950,2,Sector 75, 28.41 L
1250,3,Sector 75, 41.96 L
950,2,Sector 93A, 29.8 L
2100,4,Sector 128, 4.28 Cr
2700,3,Sector 128, 2.9 Cr
1245,2,Sector 43, 1.49 Cr
970,2,Sector 108, 29.67 L
962,2,Sector 41, 28.27 L
6000,4,Sector 94, 9 Cr
940,2,Sector 143B, 66.5 L
940,2,Sector 143B, 65.8 L
840,2,Sector 143B, 59 L
840,2,Sector 143B, 58.8 L
1480,3,Sector 143B, 1.05 Cr
1480,3,Sector 143B, 1.03 Cr
1255,3,Sector 143B, 87.85 L
2500,3,Sector 78, 2.75 Cr
1907,3,Sector 150, 1.46 Cr
1285,3,Sector 150, 98 L
2999,4,other, 6.15 Cr
1430,3,Sector 150, 1.51 Cr
2555,3,Sector 150, 1.87 Cr
2555,3,Sector 150, 1.87 Cr
2040,3,Sector 150, 1.5 Cr
2040,3,Sector 150, 1.5 Cr
3355,4,Sector 150, 2.11 Cr
3355,4,Sector 150, 2.11 Cr
1700,3,Sector 150, 1.28 Cr
1700,3,Sector 150, 1.28 Cr
1100,3,Sector 150, 41.45 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
2555,3,Sector 150, 1.87 Cr
2555,3,Sector 150, 1.87 Cr
2040,3,Sector 150, 1.5 Cr
2040,3,Sector 150, 1.5 Cr
2555,3,Sector 150, 1.87 Cr
2555,3,Sector 150, 1.87 Cr
2040,3,Sector 150, 1.5 Cr
2040,3,Sector 150, 1.5 Cr
3355,4,Sector 150, 2.11 Cr
3355,4,Sector 150, 2.11 Cr
1700,3,Sector 150, 1.28 Cr
1700,3,Sector 150, 1.28 Cr
1137,2,Sector 150, 85.27 L
1137,2,Sector 150, 85.27 L
3200,4,Sector 150, 1.76 Cr
2300,3,Sector 150, 1.26 Cr
3200,4,Sector 150, 1.76 Cr
3200,4,Sector 150, 1.76 Cr
2300,3,Sector 150, 1.26 Cr
2300,3,Sector 150, 1.26 Cr
1750,3,Sector 150, 96.25 L
1750,3,Sector 150, 96.25 L
1750,3,Sector 150, 96.25 L
3200,4,Sector 150, 2.47 Cr
3200,4,Sector 150, 2.47 Cr
2000,3,Sector 150, 1.57 Cr
2000,3,Sector 150, 1.57 Cr
3200,4,Sector 150, 2.47 Cr
3200,4,Sector 150, 2.47 Cr
2000,3,Sector 150, 1.57 Cr
2000,3,Sector 150, 1.57 Cr
2300,3,Sector 150, 1.79 Cr
2300,3,Sector 150, 1.79 Cr
1625,3,Sector 150, 1.29 Cr
1625,3,Sector 150, 1.29 Cr
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1100,2,Sector 93, 77 L
3000,4,Sector 93A, 3.5 Cr
2800,4,Sector 93A, 3.25 Cr
2095,3,Sector 150, 1.5 Cr
1190,2,Sector 150, 75 L
1110,2,Sector 137, 74 L
2095,3,Sector 150, 1.4 Cr
1500,3,Sector 93A, 1.65 Cr
2800,4,Sector 93A, 3.19 Cr
1750,3,Sector 93A, 2.1 Cr
1750,3,Sector 93A, 2.1 Cr
1500,3,Sector 93A, 1.6 Cr
3000,4,Sector 93A, 3.5 Cr
3000,4,Sector 93A, 3.5 Cr
1500,3,Sector 93A, 1.55 Cr
2800,4,Sector 93A, 3.24 Cr
1100,2,Sector 150, 81 L
1137,2,Sector 150, 79 L
1305,2,Sector 150, 1.14 Cr
3302,3,Sector 108, 3.24 Cr
3996,4,Sector 108, 3.4 Cr
950,2,Sector 104, 29.25 L
950,2,Sector 104, 29.6 L
950,2,Sector 104, 29.5 L
950,2,Sector 110, 28.8 L
950,2,Sector 50, 32.18 L
955,2,Sector 49, 30.5 L
2007,3,Sector 128, 3.3 Cr
1185,3,Sector 152, 1.14 Cr
1404,3,Sector 150, 1.05 Cr
1220,2,Sector 94, 1.65 Cr
1355,3,Sector 144, 97.56 L
3600,6,other, 4 Cr
6750,7,other, 6.5 Cr
7600,6,Sector 15A, 26 Cr
2340,4,Sector 41, 1.75 Cr
8100,8,other, 6.75 Cr
7560,7,other, 9 Cr
2920,4,other, 2.5 Cr
3240,5,other, 3.1 Cr
1695,3,Sector 137, 75 L
1070,2,Sector 137, 44 L
3600,4,Sector 137, 2.25 Cr
1955,3,other, 1.2 Cr
3400,4,Sector 137, 3.1 Cr
925,2,Sector 137, 42 L
1725,3,Sector 137, 72 L
985,2,Sector 73, 29.67 L
944,2,Sector 75, 28.32 L
947,2,Sector 74, 28.31 L
952,2,Sector 76, 28.39 L
962,2,Sector 77, 28.41 L
956,2,Sector 104, 28.21 L
958,2,other, 27.74 L
958,2,Sector 104, 30.32 L
1920,4,Sector 143B, 1.42 Cr
1920,4,Sector 143B, 1.34 Cr
1255,3,Sector 143B, 88.1 L
950,2,Sector 49, 33 L
950,2,Sector 49, 30.65 L
950,2,Sector 49, 32.24 L
960,2,Sector 93, 29.64 L
957,2,Sector 110, 28.2 L
977,2,Sector 104, 28.43 L
987,2,Sector 110, 29.87 L
950,2,Sector 49, 32.3 L
970,2,Sector 49, 31.4 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1732,3,Sector 75, 1.15 Cr
3600,8,other, 2.1 Cr
1015,2,Sector 76, 48 L
950,2,Sector 104, 29.96 L
950,2,Sector 104, 29.87 L
950,2,Sector 107, 29.66 L
950,2,Sector 104, 29.77 L
950,2,Sector 104, 29.66 L
950,2,Sector 104, 29.73 L
950,2,Sector 104, 29.65 L
950,2,other, 29.88 L
968,2,Sector 49, 32.27 L
550,1,Sector 49, 17.25 L
585,1,Sector 49, 17.2 L
1450,3,Sector 49, 44.65 L
656,2,Sector 49, 21.65 L
957,2,Sector 49, 30.6 L
658,2,Sector 49, 23 L
950,2,Sector 49, 32.15 L
659,2,Sector 49, 23.1 L
965,2,Sector 49, 32.25 L
975,2,Sector 49, 32.35 L
945,2,Sector 49, 31.85 L
968,2,Sector 49, 32.27 L
550,1,Sector 49, 17.25 L
585,1,Sector 49, 17.2 L
675,2,Sector 49, 22.2 L
690,2,Sector 49, 22.22 L
550,1,Sector 49, 17.42 L
958,2,Sector 49, 31.54 L
635,2,Sector 49, 21.74 L
945,2,Sector 49, 32.22 L
968,2,Sector 49, 31.74 L
940,2,Sector 49, 30.74 L
957,2,Sector 49, 30.6 L
658,2,Sector 49, 23 L
950,2,Sector 49, 32.15 L
659,2,Sector 49, 23.1 L
965,2,Sector 49, 32.25 L
975,2,Sector 49, 32.35 L
945,2,Sector 49, 31.85 L
1137,2,Sector 150, 85.27 L
1137,2,Sector 150, 85.27 L
950,2,Sector 104, 29.7 L
945,2,Sector 49, 30.85 L
565,1,Sector 49, 17.34 L
950,2,Sector 49, 33.87 L
1100,4,Sector 50, 35.65 L
950,2,Sector 49, 33.27 L
965,2,Sector 49, 31.34 L
951,2,Sector 49, 30.3 L
948,2,Sector 49, 31.17 L
660,2,Sector 50, 22.35 L
950,2,Sector 49, 33.45 L
950,2,Sector 49, 32.7 L
690,2,Sector 49, 23.25 L
700,2,Sector 49, 22.05 L
952,2,Sector 49, 30.35 L
935,2,Sector 49, 30.24 L
940,2,Sector 49, 29.75 L
1050,2,Sector 49, 33.4 L
975,2,Sector 49, 32.34 L
960,2,Sector 104, 30.15 L
950,2,Sector 110, 29.1 L
700,2,Sector 50, 23.17 L
950,2,Sector 110, 28.5 L
950,2,Sector 110, 28.6 L
950,2,Sector 110, 28.7 L
950,2,Sector 107, 29.8 L
950,2,Sector 104, 29.9 L
3312,3,Sector 108, 3.15 Cr
3312,3,Sector 108, 3.15 Cr
495,1,Sector 137, 30 L
3750,5,Sector 43, 5.5 Cr
3370,4,Sector 43, 4.68 Cr
3131,4,Sector 43, 4.04 Cr
2335,4,Sector 79, 1.6 Cr
1895,3,Sector 79, 1.25 Cr
1645,3,Sector 79, 1.06 Cr
4874,4,Sector 108, 4.15 Cr
3996,4,Sector 108, 3.4 Cr
3302,3,Sector 108, 2.81 Cr
3027,4,Sector 150, 2.54 Cr
3200,4,Sector 152, 2.24 Cr
2415,3,other, 95.73 L
1347,3,other, 54.72 L
928,2,other, 38.63 L
1293,3,other, 52.65 L
1430,3,other, 57.91 L
1155,2,Sector 150, 83.16 L
1907,3,Sector 150, 1.46 Cr
2330,3,Sector 150, 2.01 Cr
2330,3,Sector 150, 2.04 Cr
1400,3,Sector 150, 1.01 Cr
1615,3,Sector 150, 1.04 Cr
1615,3,Sector 150, 1.06 Cr
1675,3,Sector 150, 1.11 Cr
2350,3,Sector 150, 1.55 Cr
3200,4,Sector 150, 1.96 Cr
890,2,Sector 74, 57.5 L
1200,2,Sector 74, 57.43 L
1220,3,Sector 74, 72 L
1760,3,Sector 74, 69.99 L
2062,3,Sector 150, 1.43 Cr
1350,3,Sector 75, 1.1 Cr
1370,2,Sector 77, 95 L
1625,3,Sector 77, 1.25 Cr
1625,3,Sector 77, 1.25 Cr
1735,3,Sector 79, 1.99 Cr
1735,3,Sector 79, 1.99 Cr
2890,3,Sector 79, 3.06 Cr
2890,4,Sector 79, 3.69 Cr
3501,4,Sector 107, 4.7 Cr
3501,4,Sector 107, 4.7 Cr
4482,4,Sector 107, 6.05 Cr
4482,4,Sector 107, 6.05 Cr
6570,5,Sector 107, 8.9 Cr
6570,5,Sector 107, 8.9 Cr
4082,4,Sector 152, 3.06 Cr
1395,3,Sector 150, 1.1 Cr
1690,3,Sector 150, 1.38 Cr
1505,3,Sector 137, 90 L
3030,4,Sector 75, 2.87 Cr
1675,3,Sector 150, 1.3 Cr
2800,4,Sector 93A, 3.26 Cr
1100,2,Sector 93, 75.5 L
2350,3,Sector 150, 1.83 Cr
1675,3,Sector 150, 1.26 Cr
3200,4,Sector 152, 2.4 Cr
2350,3,Sector 152, 1.76 Cr
1850,3,Sector 152, 1.38 Cr
1750,3,Sector 150, 1.28 Cr
1750,3,Sector 150, 1.35 Cr
3165,3,Sector 150, 3 Cr
2461,3,Sector 150, 2.4 Cr
1265,2,Sector 150, 1.3 Cr
1907,3,Sector 150, 1.95 Cr
2300,3,Sector 150, 1.72 Cr
3200,4,Sector 150, 2.4 Cr
6750,5,Sector 79, 5.5 Cr
2258,3,Sector 43, 3 Cr
2350,3,Sector 150, 1.8 Cr
3300,4,Sector 150, 2.55 Cr
1137,2,Sector 150, 85 L
1165,2,Sector 150, 93 L
1980,3,Sector 150, 1.48 Cr
2230,3,Sector 150, 1.67 Cr
3200,4,Sector 150, 2.4 Cr
4874,4,Sector 108, 5.17 Cr
3302,3,Sector 108, 3.46 Cr
1245,2,Sector 150, 99.6 L
1350,3,Sector 49, 45.35 L
1120,3,Sector 150, 39.99 L
1180,3,Sector 150, 39 L
1100,3,Sector 150, 36.8 L
1140,3,Sector 150, 36.9 L
2800,4,Sector 93A, 3.2 Cr
1350,2,Sector 150, 79 L
1675,3,Sector 150, 1.1 Cr
2800,4,Sector 93A, 3.2 Cr
2800,4,Sector 93A, 2.98 Cr
1500,3,Sector 93A, 1.51 Cr
1300,3,Sector 93A, 1.3 Cr
1085,2,Sector 150, 77 L
1675,3,Sector 150, 1.24 Cr
3430,4,Sector 78, 3.77 Cr
2350,3,Sector 150, 1.99 Cr
6570,5,Sector 107, 8.47 Cr
3501,4,Sector 107, 4.72 Cr
2500,3,Sector 107, 2.5 Cr
1980,3,Sector 150, 1.52 Cr
1881,2,Sector 75, 1.78 Cr
1250,2,Sector 78, 60 L
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
5272,7,Sector 108, 4.75 Cr
1195,2,Sector 150, 75 L
2800,4,Sector 93A, 3.1 Cr
1195,2,Sector 150, 75 L
1500,3,Sector 93A, 1.45 Cr
1675,3,Sector 150, 1.15 Cr
1500,3,Sector 93A, 1.45 Cr
2040,3,Sector 150, 1.57 Cr
2555,3,Sector 150, 1.96 Cr
1700,3,Sector 150, 1.17 Cr
2230,3,Sector 150, 1.76 Cr
4482,4,Sector 107, 5.78 Cr
900,2,other, 85 L
2500,3,Sector 78, 2.75 Cr
1400,3,Sector 150, 1.02 Cr
1695,3,Sector 137, 75 L
1575,3,Sector 150, 1.3 Cr
1656,3,Sector 75, 1.82 Cr
1971,2,Sector 75, 1.97 Cr
1575,3,Sector 150, 1.3 Cr
2335,4,Sector 79, 1.85 Cr
954,3,Sector 19 Yamuna Expressway, 49.36 L
604,2,Sector 19 Yamuna Expressway, 37.96 L
954,3,Sector 19 Yamuna Expressway, 49.36 L
713,2,Sector 19 Yamuna Expressway, 43.24 L
713,2,Sector 19 Yamuna Expressway, 43.24 L
1224,4,Sector 19 Yamuna Expressway, 66.4 L
1224,4,Sector 19 Yamuna Expressway, 66.4 L
792,3,Sector 19 Yamuna Expressway, 50.52 L
792,3,Sector 19 Yamuna Expressway, 50.52 L
558,2,Sector 19 Yamuna Expressway, 36.6 L
558,2,Sector 19 Yamuna Expressway, 36.6 L
690,1,other, 23.9 L
690,1,other, 23.9 L
590,1,other, 20.44 L
590,1,other, 20.44 L
690,1,other, 23.9 L
690,1,other, 23.9 L
590,1,other, 20.44 L
590,1,other, 20.44 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
500,1,Sector 17A Yamuna Expressway, 21 L
1074,2,Sector 78, 62 L
5100,4,Sector 108, 4.75 Cr
4874,4,Sector 108, 5.11 Cr
1350,3,Sector 121, 1.8 Cr
3195,4,Sector 121, 4.25 Cr
2124,3,Sector 75, 2.16 Cr
1750,3,Sector 75, 67.5 L
2124,3,Sector 75, 2.16 Cr
2511,4,Sector 75, 2.9 Cr
2548,3,Sector 50, 2.7 Cr
2124,3,Sector 75, 2.23 Cr
950,2,other, 28.6 L
2070,3,Sector 121, 2.8 Cr
1200,2,Sector 74, 57.42 L
1645,3,Sector 78, 86.36 L
1431,2,Sector 75, 1.45 Cr
4874,4,Sector 108, 4.5 Cr
2511,4,Sector 75, 2.63 Cr
2990,4,Sector 150, 2.36 Cr
3355,4,Sector 150, 2.58 Cr
950,2,Sector 49, 30.64 L
1340,3,Sector 143, 74 L
1075,2,Sector 74, 79.9 L
1075,2,Sector 74, 80 L
1000,2,Sector 73, 28.54 L
1750,3,Sector 150, 1.58 Cr
2700,3,Sector 128, 3.21 Cr
1750,3,Sector 150, 1.4 Cr
1500,3,Sector 75, 1.15 Cr
1350,3,Sector 75, 90 L
2186,4,Sector 76, 1.35 Cr
2500,3,Sector 78, 2.68 Cr
1730,2,Sector 79, 1.68 Cr
1690,3,Sector 79, 1.3 Cr
1140,3,Sector 150, 35.8 L
1110,3,Sector 150, 40.01 L
1150,3,Sector 150, 39 L
1100,3,Sector 150, 37 L
1140,3,Sector 150, 37 L
1500,3,Sector 150, 35 L
1201,3,Sector 150, 40.05 L
1140,3,Sector 150, 35 L
1201,3,Sector 150, 40 L
1201,3,Sector 150, 40 L
1100,3,Sector 150, 40 L
1100,3,Sector 150, 40 L
1100,3,Sector 150, 40 L
1110,3,Sector 150, 40 L
1100,3,Sector 150, 39.8 L
1400,3,Sector 150, 40 L
1140,3,Sector 150, 40.08 L
1130,3,Sector 150, 38.6 L
1110,3,Sector 150, 40 L
1110,3,Sector 150, 40 L
1110,3,Sector 150, 40.07 L
1110,3,Sector 150, 40.07 L
1120,3,Sector 150, 45 L
593,1,Sector 104, 17.67 L
950,2,Sector 104, 29 L
1675,3,Sector 150, 1.2 Cr
1195,2,Sector 150, 70 L
1675,3,Sector 150, 1.25 Cr
2190,3,Sector 150, 1.6 Cr
1675,3,Sector 150, 1.1 Cr
2095,3,Sector 150, 1.45 Cr
1200,3,Sector 137, 80 L
1750,3,Sector 93A, 1.95 Cr
1100,2,Sector 93, 77 L
1900,3,Sector 93, 1.8 Cr
1195,2,Sector 150, 74 L
1750,3,Sector 93A, 1.99 Cr
1675,3,Sector 150, 1.1 Cr
2095,4,Sector 150, 1.29 Cr
1195,2,Sector 150, 75 L
1170,2,Sector 144, 85 L
550,1,Sector 93, 17.15 L
1100,2,Sector 44, 34 L
1350,3,Sector 49, 41 L
950,2,Sector 49, 32 L
1400,2,Sector 73, 38 L
1000,2,Sector 73, 25 L
950,2,Sector 49, 32 L
1375,3,Sector 44, 40 L
1050,2,Sector 73, 28.6 L
980,2,Sector 73, 24.5 L
950,2,Sector 73, 24 L
1000,2,Sector 49, 33 L
1350,3,Sector 49, 41 L
1400,3,Sector 49, 42 L
950,2,Sector 49, 28 L
1050,2,Sector 44, 28.5 L
2100,4,Sector 49, 65 L
950,2,Sector 73, 25 L
950,2,Sector 49, 30 L
980,2,Sector 104, 31 L
1400,3,Sector 73, 38 L
1350,3,Sector 49, 45 L
950,2,Sector 73, 24 L
1050,2,Sector 49, 32 L
1100,2,Sector 49, 35 L
1350,3,Sector 73, 37 L
1400,3,Sector 73, 38 L
1000,2,Sector 73, 25 L
1050,2,Sector 49, 29.75 L
950,2,Sector 49, 28.5 L
1050,2,Sector 44, 28 L
985,2,Sector 44, 28.1 L
1492,2,Sector 49, 43 L
1050,2,Sector 49, 33.5 L
1370,2,Sector 79, 95 L
1100,2,Sector 44, 30 L
1050,2,Sector 44, 29 L
1000,2,Sector 49, 29.5 L
1000,2,Sector 44, 28.25 L
1000,2,Sector 44, 27 L
1060,2,Sector 44, 28.18 L
1400,3,Sector 49, 42 L
1040,2,Sector 49, 31.5 L
1385,3,Sector 44, 39 L
1050,2,Sector 49, 31.5 L
1440,3,Sector 49, 40.5 L
1400,3,Sector 49, 44.5 L
900,2,Sector 49, 27 L
1050,2,Sector 49, 29.5 L
1100,2,Sector 49, 30 L
1450,3,Sector 44, 42 L
1080,2,Sector 44, 30 L
1100,2,Sector 49, 30 L
1100,2,Sector 45, 29 L
1110,3,Sector 150, 40.01 L
1100,3,Sector 150, 36 L
1100,3,Sector 150, 39 L
1100,3,Sector 150, 41 L
1800,3,Sector 150, 40 L
1154,3,Sector 150, 38 L
1160,3,Sector 150, 39.8 L
1100,3,Sector 150, 35 L
1100,3,Sector 150, 41.45 L
1201,3,Sector 150, 40.05 L
1500,3,Sector 150, 65 L
1100,3,Sector 150, 41.45 L
1120,3,Sector 150, 34 L
1201,3,Sector 150, 40.01 L
1140,3,Sector 150, 39.8 L
3250,6,Sector 15A, 7.5 Cr
1890,3,Sector 150, 40.05 L
1100,3,Sector 150, 41.45 L
1500,3,Sector 150, 33 L
1200,3,Sector 150, 40 L
1100,3,Sector 150, 40 L
1160,3,Sector 150, 36.5 L
1110,3,Sector 150, 40 L
1100,3,Sector 150, 39.8 L
1140,3,Sector 150, 40.88 L
1150,3,Sector 150, 36 L
1150,3,Sector 150, 37.05 L
1180,3,Sector 150, 36.98 L
1110,3,Sector 150, 40.01 L
1500,3,Sector 150, 35 L
1100,3,Sector 150, 35 L
1199,3,Sector 150, 35 L
1140,3,Sector 150, 38.9 L
3000,6,other, 4.5 Cr
7500,8,other, 5.74 Cr
1300,2,Sector 79, 1.05 Cr
1445,3,Sector 76, 85 L
1147,2,Sector 76, 66.5 L
1147,2,Sector 76, 70 L
1472,3,Sector 76, 80 L
1230,2,Sector 74, 78 L
2500,3,Sector 78, 2.4 Cr
1380,2,Sector 79, 1.05 Cr
1370,3,Sector 77, 87 L
950,2,Sector 77, 51 L
955,2,Sector 45, 28 L
510,1,Sector 45, 14.5 L
980,2,Sector 49, 35 L
970,2,Sector 45, 25.75 L
8000,5,Sector 75, 5 Cr
8000,5,Sector 75, 5 Cr
495,1,Sector 137, 30 L
2335,4,Sector 79, 1.57 Cr
1645,3,Sector 79, 1.06 Cr
2715,5,Sector 79, 1.87 Cr
1895,3,Sector 79, 1.23 Cr
1215,2,Sector 79, 81.1 L
1620,3,Sector 79, 1.1 Cr
1385,2,Sector 79, 93.7 L
8500,4,Sector 150, 9.56 Cr
8500,4,Sector 150, 9.56 Cr
8000,4,Sector 150, 9 Cr
8000,4,Sector 150, 9 Cr
8500,4,Sector 150, 9.56 Cr
8500,4,Sector 150, 9.56 Cr
8000,4,Sector 150, 9 Cr
8000,4,Sector 150, 9 Cr
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
773,2,Sector 150, 79.21 L
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
773,2,Sector 150, 79.21 L
1455,3,Sector 150, 1.51 Cr
1455,3,Sector 150, 1.51 Cr
977,2,Sector 150, 96.96 L
977,2,Sector 150, 96.96 L
1903,4,Sector 150, 1.99 Cr
1903,4,Sector 150, 1.99 Cr
1202,3,Sector 150, 1.18 Cr
1202,3,Sector 150, 1.18 Cr
1675,3,Sector 150, 94.7 L
1675,3,Sector 150, 94.7 L
1615,3,Sector 150, 91.46 L
1615,3,Sector 150, 91.46 L
1675,3,Sector 150, 94.7 L
1675,3,Sector 150, 94.7 L
1615,3,Sector 150, 91.46 L
1615,3,Sector 150, 91.46 L
2040,3,Sector 150, 1.5 Cr
2040,3,Sector 150, 1.5 Cr
3355,4,Sector 150, 2.11 Cr
3355,4,Sector 150, 2.11 Cr
1700,3,Sector 150, 1.28 Cr
1700,3,Sector 150, 1.28 Cr
8500,4,Sector 150, 9.56 Cr
8500,4,Sector 150, 9.56 Cr
8000,4,Sector 150, 9 Cr
8000,4,Sector 150, 9 Cr
8500,4,Sector 150, 9.56 Cr
8500,4,Sector 150, 9.56 Cr
8000,4,Sector 150, 9 Cr
8000,4,Sector 150, 9 Cr
3200,4,Sector 150, 1.76 Cr
2300,3,Sector 150, 1.26 Cr
1750,3,Sector 150, 96.25 L
3200,4,Sector 150, 2.47 Cr
3200,4,Sector 150, 2.47 Cr
3200,4,Sector 150, 2.47 Cr
3200,4,Sector 150, 2.47 Cr
2000,3,Sector 150, 1.57 Cr
