Area in Sqrt,No.of Bhk,Location,price_rupees,price_per_sqft,area_per_bhk
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2100000,4200.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2200000,4400.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
500,1,Sector 17A Yamuna Expressway,2099000,4198.0,500.0
3220,4,Sector 150,22599999,7018.63354037267,805.0
850,2,Sector 73,1850000,2176.470588235294,425.0
550,1,Sector 72,1300000,2363.6363636363635,550.0
950,2,other,2650000,2789.4736842105262,475.0
500,1,Sector 73,1300000,2600.0,500.0
950,2,other,2650000,2789.4736842105262,475.0
500,1,Sector 72,1300000,2600.0,500.0
850,2,Sector 72,1900000,2235.294117647059,425.0
850,2,Sector 73,1800000,2117.6470588235293,425.0
550,1,Sector 72,1650000,3000.0,550.0
800,2,Sector 72,1550000,1937.5,400.0
850,2,Sector 73,2200000,2588.235294117647,425.0
850,2,Sector 73,1650000,1941.1764705882354,425.0
550,1,Sector 73,1300000,2363.6363636363635,550.0
850,2,Sector 73,1750000,2058.823529411765,425.0
950,2,Sector 73,4000000,4210.526315789473,475.0
550,1,Sector 73,1300000,2363.6363636363635,550.0
850,2,Sector 73,1750000,2058.823529411765,425.0
850,2,Sector 73,1800000,2117.6470588235293,425.0
950,2,Sector 73,2650000,2789.4736842105262,475.0
550,1,Sector 73,1150000,2090.909090909091,550.0
850,2,Sector 73,1850000,2176.470588235294,425.0
950,2,Sector 73,2650000,2789.4736842105262,475.0
850,2,Sector 72,1950000,2294.1176470588234,425.0
850,2,Sector 73,1550000,1823.5294117647059,425.0
950,2,Sector 73,4000000,4210.526315789473,475.0
550,1,Sector 73,1300000,2363.6363636363635,550.0
850,2,Sector 73,1650000,1941.1764705882354,425.0
850,2,Sector 73,1850000,2176.470588235294,425.0
850,2,Sector 73,1850000,2176.470588235294,425.0
550,1,Sector 75,1700000,3090.909090909091,550.0
1050,2,Sector 73,2600000,2476.190476190476,525.0
1050,2,other,2550000,2428.5714285714284,525.0
550,1,Sector 73,1290000,2345.4545454545455,550.0
850,2,Sector 73,1850000,2176.470588235294,425.0
550,1,Sector 72,1300000,2363.6363636363635,550.0
550,1,Sector 73,1100000,2000.0,550.0
550,1,Sector 73,1650000,3000.0,550.0
850,2,Sector 73,1550000,1823.5294117647059,425.0
850,2,Sector 73,1550000,1823.5294117647059,425.0
850,2,Sector 73,1650000,1941.1764705882354,425.0
550,1,Sector 73,1450000,2636.3636363636365,550.0
500,1,Sector 73,1300000,2600.0,500.0
850,2,Sector 73,1850000,2176.470588235294,425.0
850,2,Sector 73,1850000,2176.470588235294,425.0
925,2,Sector 137,4200000,4540.540540540541,462.5
925,2,Sector 137,3700000,4000.0,462.5
1100,2,Sector 93,7800000,7090.909090909091,550.0
2095,3,Sector 150,14500000,6921.241050119332,698.3333333333334
1675,3,Sector 150,11399999,6805.970149253731,558.3333333333334
1195,2,Sector 150,7800000,6527.1966527196655,597.5
2800,4,Sector 93A,34500000,12321.42857142857,700.0
1100,2,Sector 93,7400000,6727.272727272727,550.0
1350,2,Sector 152,12500000,9259.25925925926,675.0
1350,2,Sector 152,12500000,9259.25925925926,675.0
1350,2,Sector 152,12500000,9259.25925925926,675.0
3750,5,Sector 150,24300000,6480.0,750.0
4350,5,Sector 150,28200000,6482.758620689655,870.0
4350,5,Sector 150,28200000,6482.758620689655,870.0
2150,4,Sector 150,13899999,6465.116279069766,537.5
2150,4,Sector 150,13899999,6465.116279069766,537.5
1550,3,Sector 120,7000000,4516.129032258064,516.6666666666666
2500,3,Sector 107,26200000,10480.0,833.3333333333334
2500,3,Sector 107,26200000,10480.0,833.3333333333334
3550,4,Sector 107,37200000,10478.87323943662,887.5
3550,4,Sector 107,37200000,10478.87323943662,887.5
2700,4,Sector 150,17500000,6481.481481481482,675.0
3650,4,Sector 150,22400000,6136.986301369864,912.5
3650,4,Sector 150,22400000,6136.986301369864,912.5
2750,3,Sector 150,16900000,6145.454545454545,916.6666666666666
2750,3,Sector 150,16900000,6145.454545454545,916.6666666666666
2450,3,Sector 150,15000000,6122.448979591837,816.6666666666666
2450,3,Sector 150,15000000,6122.448979591837,816.6666666666666
3650,4,Sector 150,22400000,6136.986301369864,912.5
3650,4,Sector 150,22400000,6136.986301369864,912.5
2750,3,Sector 150,16900000,6145.454545454545,916.6666666666666
2750,3,Sector 150,16900000,6145.454545454545,916.6666666666666
2850,3,Sector 150,17500000,6140.350877192983,950.0
2850,3,Sector 150,17500000,6140.350877192983,950.0
771,2,Sector 150,7900000,10246.433203631646,385.5
771,2,Sector 150,7900000,10246.433203631646,385.5
771,2,Sector 150,7900000,10246.433203631646,385.5
771,2,Sector 150,7900000,10246.433203631646,385.5
801,2,Sector 150,8404000,10491.885143570536,400.5
801,2,Sector 150,8404000,10491.885143570536,400.5
773,2,Sector 150,7920999,10247.089262613194,386.5
773,2,Sector 150,7920999,10247.089262613194,386.5
1455,3,Sector 150,15100000,10378.006872852233,485.0
1455,3,Sector 150,15100000,10378.006872852233,485.0
977,2,Sector 150,9696000,9924.257932446264,488.5
977,2,Sector 150,9696000,9924.257932446264,488.5
1903,4,Sector 150,19900000,10457.17288491855,475.75
1903,4,Sector 150,19900000,10457.17288491855,475.75
1202,3,Sector 150,11800000,9816.971713810317,400.6666666666667
1202,3,Sector 150,11800000,9816.971713810317,400.6666666666667
1907,3,Sector 150,14600000,7656.004195070792,635.6666666666666
1907,3,Sector 150,14600000,7656.004195070792,635.6666666666666
2700,4,Sector 150,21400000,7925.925925925926,675.0
2700,4,Sector 150,21400000,7925.925925925926,675.0
1907,3,Sector 150,14600000,7656.004195070792,635.6666666666666
1907,3,Sector 150,14600000,7656.004195070792,635.6666666666666
2700,4,Sector 150,21400000,7925.925925925926,675.0
1907,3,Sector 150,14600000,7656.004195070792,635.6666666666666
2700,4,Sector 150,21400000,7925.925925925926,675.0
2700,4,Sector 150,21400000,7925.925925925926,675.0
1907,3,Sector 150,14600000,7656.004195070792,635.6666666666666
1907,3,Sector 150,14600000,7656.004195070792,635.6666666666666
2700,4,Sector 150,21400000,7925.925925925926,675.0
2700,4,Sector 150,21400000,7925.925925925926,675.0
3027,4,Sector 150,23900000,7895.606210769739,756.75
3027,4,Sector 150,23900000,7895.606210769739,756.75
2062,3,Sector 150,16299999,7904.946653734238,687.3333333333334
2062,3,Sector 150,16299999,7904.946653734238,687.3333333333334
2330,3,Sector 150,16399999,7038.626609442059,776.6666666666666
2330,3,Sector 150,16399999,7038.626609442059,776.6666666666666
1750,3,Sector 150,10800000,6171.428571428572,583.3333333333334
1750,3,Sector 150,10800000,6171.428571428572,583.3333333333334
3220,4,Sector 150,22599999,7018.63354037267,805.0
3220,4,Sector 150,22599999,7018.63354037267,805.0
2190,3,Sector 150,14200000,6484.018264840182,730.0
2190,3,Sector 150,14200000,6484.018264840182,730.0
2460,3,Sector 150,17400000,7073.170731707317,820.0
1075,2,Sector 120,4600000,4279.069767441861,537.5
1550,3,Sector 120,7000000,4516.129032258064,516.6666666666666
950,2,Sector 120,5600000,5894.736842105263,475.0
850,2,Sector 73,1900000,2235.294117647059,425.0
650,1,Sector 110,2000000,3076.923076923077,650.0
650,1,Sector 110,1970000,3030.769230769231,650.0
650,1,Sector 110,1980000,3046.153846153846,650.0
650,1,Sector 110,1989999,3061.538461538461,650.0
952,2,Sector 73,2950000,3098.7394957983192,476.0
652,1,Sector 73,1850000,2837.4233128834358,652.0
652,1,Sector 73,1850000,2837.4233128834358,652.0
950,2,Sector 73,2850000,3000.0,475.0
657,1,Sector 73,1889999,2876.712328767123,657.0
987,2,Sector 73,2800000,2836.8794326241136,493.5
900,2,Sector 73,2600000,2888.8888888888887,450.0
920,1,Sector 73,1600000,1739.1304347826087,920.0
987,2,Sector 73,2870000,2907.801418439716,493.5
850,2,Sector 73,1700000,2000.0,425.0
900,2,Sector 72,2111000,2345.5555555555557,450.0
900,2,Sector 73,2900000,3222.222222222222,450.0
950,2,Sector 73,2875000,3026.315789473684,475.0
